Date,FFcm1
2019-11-13,98.44
2019-11-14,98.445
2019-11-15,98.44
2019-11-18,98.44
2019-11-19,98.44
2019-11-20,98.44
2019-11-21,98.43
2019-11-22,98.43
2019-11-25,98.43
2019-11-26,98.435
2019-11-27,98.435
2019-11-29,98.435
2019-12-02,98.4325
2019-12-03,98.4375
2019-12-04,98.44
2019-12-05,98.445
2019-12-06,98.4425
2019-12-09,98.4425
2019-12-10,98.44
2019-12-11,98.44
2019-12-12,98.4425
2019-12-13,98.4475
2019-12-16,98.445
2019-12-17,98.445
2019-12-18,98.4425
2019-12-19,98.4425
2019-12-20,98.4475
2019-12-23,98.445
2019-12-24,98.4475
2019-12-26,98.445
2019-12-27,98.445
2019-12-30,98.4475
2019-12-31,98.4475
2020-01-02,98.445
2020-01-03,98.435
2020-01-06,98.435
2020-01-07,98.43
2020-01-08,98.425
2020-01-09,98.43
2020-01-10,98.43
2020-01-13,98.42
2020-01-14,98.42
2020-01-15,98.415
2020-01-16,98.42
2020-01-17,98.42
2020-01-21,98.425
2020-01-22,98.42
2020-01-23,98.425
2020-01-24,98.425
2020-01-27,98.435
2020-01-28,98.43
2020-01-29,98.415
2020-01-30,98.43
2020-01-31,98.44
2020-02-03,98.43
2020-02-04,98.42
2020-02-05,98.415
2020-02-06,98.42
2020-02-07,98.425
2020-02-10,98.43
2020-02-11,98.425
2020-02-12,98.425
2020-02-13,98.425
