ric,name,expiry,month
FFF0,30 DAY FED JAN0,JAN0,1
FFG0,30 DAY FED FEB0,FEB0,2
FFH0,30 DAY FED MAR0,MAR0,3
FFJ0,30 DAY FED APR0,APR0,4
FFK0,30 DAY FED MAY0,MAY0,5
FFM0,30 DAY FED JUN0,JUN0,6
FFN0,30 DAY FED JUL0,JUL0,7
FFQ0,30 DAY FED AUG0,AUG0,8
FFU0,30 DAY FED SEP0,SEP0,9
FFV0,30 DAY FED OCT0,OCT0,10
FFX0,30 DAY FED NOV0,NOV0,11
FFZ0,30 DAY FED DEC0,DEC0,12
FFF1,30 DAY FED JAN1,JAN1,1
FFG1,30 DAY FED FEB1,FEB1,2
FFH1,30 DAY FED MAR1,MAR1,3
FFJ1,30 DAY FED APR1,APR1,4
FFK1,30 DAY FED MAY1,MAY1,5
FFM1,30 DAY FED JUN1,JUN1,6
FFN1,30 DAY FED JUL1,JUL1,7
FFQ1,30 DAY FED AUG1,AUG1,8
FFU1,30 DAY FED SEP1,SEP1,9
FFV1,30 DAY FED OCT1,OCT1,10
FFX1,30 DAY FED NOV1,NOV1,11
FFZ1,30 DAY FED DEC1,DEC1,12
FFF2,30 DAY FED JAN2,JAN2,1
FFG2,30 DAY FED FEB2,FEB2,2
FFH2,30 DAY FED MAR2,MAR2,3
FFJ2,30 DAY FED APR2,APR2,4
FFK2,30 DAY FED MAY2,MAY2,5
FFM2,30 DAY FED JUN2,JUN2,6
FFN2,30 DAY FED JUL2,JUL2,7
FFQ2,30 DAY FED AUG2,AUG2,8
FFU2,30 DAY FED SEP2,SEP2,9
FFV2,30 DAY FED OCT2,OCT2,10
FFX2,30 DAY FED NOV2,NOV2,11
FFZ2,30 DAY FED DEC2,DEC2,12
FFF3,30 DAY FED JAN3,JAN3,1
